"Planned Sprint","Actual Sprint","US ID","User Story Description","MOSCOW","Dependency","Assignee","Status"
"Sprint 1","Sprint 1","US-01","As a student, I want to create an account and authenticate with JWT security, so that my career data and progress remain private and secure.","Must Have","None","Lokeswar","Done"
"Sprint 1","Sprint 1","US-02","As a student, I want to set up my student profile with degree, university, graduation year, and skills, so that the AI understands my background.","Must Have","US-01","Lokeswar","Done"
"Sprint 1","Sprint 1","US-03","As a student, I want to upload my PDF/DOCX resume for automated Gemini AI parsing and skill extraction, so that I don't have to manually type my skills.","Must Have","US-02","Lokeswar","Done"
"Sprint 1","Sprint 1","US-04","As a candidate, I want to receive a SWOT analysis of my resume, so that I understand my strengths and skill gaps early on.","Should Have","US-03","Lokeswar","Done"
"Sprint 2","Sprint 2","US-05","As a student, I want to browse a verified catalog of 180+ tech internships, so that I can discover relevant opportunities.","Must Have","None","Lokeswar","Done"
"Sprint 2","Sprint 2","US-06","As a system, I want to chunk internship postings into semantic units and generate dense vector embeddings (720 chunks), so that semantic retrieval is fast and accurate.","Must Have","US-05","Lokeswar","Done"
"Sprint 2","Sprint 2","US-07","As a student, I want a Job-Resume Matching Agent to calculate a multi-factor compatibility score with transparent reasoning, so that I understand my fit.","Must Have","US-03, US-06","Lokeswar","Done"
"Sprint 2","Sprint 2","US-08","As an evaluator, I want to benchmark matching accuracy across diverse student profiles, so that the matching engine achieves >85% MRR and >80% Top-1 accuracy.","Should Have","US-07","Lokeswar","Done"
"Sprint 3","Sprint 3","US-09","As a student, I want a 5-category Skill Gap Analysis Agent with personalized roadmaps, so that I know exactly what project to build to close my gaps.","Must Have","US-07","Lokeswar","Done"
"Sprint 3","Sprint 3","US-10","As an applicant, I want to generate ATS-optimized STAR bullet points and targeted cover letters with strict anti-hallucination guardrails, so that my applications stand out.","Must Have","US-03, US-07","Lokeswar","Done"
"Sprint 3","Sprint 3","US-11","As a candidate, I want an AI Mock Interview Coach with speech-to-text and 3D scoring (Technical, Communication, Relevance), so that I can practice interview questions.","Must Have","US-07, US-09","Lokeswar","Done"
"Sprint 3","Sprint 3","US-12","As a student, I want a Conversational Career Assistant orchestrator that retains multi-turn context and compares opportunities, so that I receive strategic guidance.","Should Have","US-09, US-10, US-11","Lokeswar","Done"
